Id,Banned hero
217,Nidalee
217,Braum
218,Azir
218,Nidalee
218,Elise
218,TwistedFate
218,Kalista
218,Gragas
219,TwistedFate
219,Kalista
219,Alistar
219,Nidalee
219,Elise
219,Azir
220,Nidalee
220,Elise
220,Azir
220,Kalista
220,TwistedFate
220,Tristana
221,Olaf
221,Alistar
221,Rumble
221,Kalista
221,Nidalee
221,Janna
222,Janna
222,Kalista
222,TwistedFate
222,Ekko
222,Lulu
222,Olaf
223,Olaf
223,Ekko
223,Elise
223,Kalista
223,Nidalee
223,Janna
224,Kalista
224,Alistar
224,Janna
224,Olaf
224,Nidalee
224,Azir
225,Elise
225,KogMaw
225,Nidalee
225,Kalista
225,Azir
225,Alistar
226,Vayne
226,Alistar
226,Tristana
226,Nidalee
226,Azir
226,Kalista
227,Nidalee
227,Soraka
227,Shen
227,Kalista
227,Azir
227,Maokai
228,Vayne
228,Alistar
228,Azir
228,Nidalee
228,Shen
228,Kalista
229,Azir
229,Maokai
229,Lulu
229,Kalista
229,Alistar
229,Ashe
230,Kalista
230,Olaf
230,Tristana
230,Azir
230,Maokai
230,Lulu
231,Azir
231,Maokai
231,Lulu
231,Kalista
231,Alistar
231,Tristana
232,Urgot
232,Nidalee
232,Lulu
232,Kalista
232,Fizz
232,Azir
233,Urgot
233,Nidalee
233,Braum
233,Kalista
233,Fizz
233,Azir
234,Urgot
234,Nidalee
234,Lulu
234,Kalista
234,Azir
234,Fizz
235,Urgot
235,Nidalee
235,Lulu
235,Kalista
235,Azir
235,Shyvana
236,Urgot
236,Nidalee
236,Lulu
236,Kalista
236,Shyvana
236,Maokai
237,Lulu
237,Braum
237,Tristana
237,Kalista
237,Nidalee
237,Evelynn
238,Lulu
238,Nidalee
238,Shen
238,Azir
238,Kalista
238,Braum
239,Braum
239,Tristana
239,Kalista
239,Nidalee
239,Soraka
239,Azir
240,Soraka
240,Nidalee
240,Lulu
240,Braum
240,Azir
240,Kalista
241,Braum
241,Gragas
241,Vayne
241,Soraka
241,Nidalee
241,Shen
242,Rumble
242,Karma
242,Elise
242,Kalista
242,Azir
242,Gangplank
243,Gangplank
243,Maokai
243,Lulu
243,Nidalee
243,Kalista
243,Azir
244,Draven
244,Maokai
244,Nidalee
244,Kalista
244,Azir
244,Gangplank
245,Gangplank
245,Maokai
245,Gragas
245,Kalista
245,Azir
245,Rumble
246,Fiora
246,Olaf
246,Gangplank
246,TahmKench
246,Ryze
246,Corki
247,Alistar
247,Fiora
247,Lissandra
247,TahmKench
247,Lulu
247,Gangplank
248,TahmKench
248,Lulu
248,RekSai
248,Gangplank
248,Ryze
248,Elise
249,Kindred
249,TahmKench
249,Gangplank
249,Ryze
249,Lulu
249,Thresh
250,Graves
250,Nidalee
250,Gangplank
250,Anivia
250,Fiora
250,Ryze
251,TwistedFate
251,Gangplank
251,TahmKench
251,Thresh
251,Alistar
251,Lulu
252,Lulu
252,Ryze
252,RekSai
252,Gangplank
252,TahmKench
252,TwistedFate
253,Graves
253,Lissandra
253,Kalista
253,Ryze
253,Lulu
253,Gangplank
254,Nidalee
254,Gangplank
254,TahmKench
254,Lulu
254,Ryze
254,Lucian
255,Graves
255,Poppy
255,TahmKench
255,RekSai
255,Gangplank
255,Ryze
256,Thresh
256,TahmKench
256,Alistar
256,Graves
256,Gangplank
256,Ryze
257,Elise
257,Lulu
257,Ryze
257,TahmKench
257,Graves
257,Gangplank
258,Poppy
258,Lissandra
258,Gangplank
258,Graves
258,TahmKench
258,Lulu
259,Kalista
259,DrMundo
259,Ryze
259,Fiora
259,Gangplank
259,Poppy
260,Elise
260,Ahri
260,TahmKench
260,Ryze
260,Gangplank
260,Fiora
261,Elise
261,Lulu
261,Fiora
261,TahmKench
261,Graves
261,Gangplank
262,TahmKench
262,Lulu
262,Ryze
262,Lissandra
262,Corki
262,Bard
263,Nidalee
263,Graves
263,Lulu
263,Poppy
263,Gangplank
263,Ryze
264,Lulu
264,Lissandra
264,Lucian
264,Thresh
264,TahmKench
264,Graves
265,Elise
265,Ryze
265,Gangplank
265,Graves
266,Poppy
266,Lulu
266,Elise
266,Gangplank
266,Alistar
266,Graves
267,Fiora
267,Gangplank
267,Nidalee
267,Lulu
267,Corki
267,Graves
268,TahmKench
268,Poppy
268,Graves
268,Gangplank
268,Lissandra
268,Lulu
269,Kalista
269,TahmKench
269,Lulu
269,Fiora
269,Janna
269,Quinn
270,Gangplank
270,Fiora
270,Nidalee
270,Caitlyn
270,Bard
270,Lulu
271,Lulu
271,Corki
271,Lissandra
271,Gangplank
271,Alistar
271,TahmKench
272,Ryze
272,TahmKench
272,Alistar
272,Lulu
272,Elise
272,Bard
273,Corki
273,Poppy
273,Lissandra
273,TahmKench
273,Lulu
273,Graves
274,Kalista
274,TahmKench
274,Graves
274,Lissandra
274,Poppy
274,Fiora
275,Elise
275,Kindred
275,Fiora
275,Ryze
275,Gangplank
275,Corki
276,Kalista
276,Elise
276,Corki
276,Alistar
276,Graves
276,Gangplank
277,Quinn
277,Lissandra
277,Gangplank
277,Corki
277,Poppy
277,Lulu
278,Lissandra
278,Nidalee
278,Gangplank
278,Quinn
278,Corki
278,Lulu
279,Alistar
279,Lulu
279,Ryze
279,Gangplank
279,Poppy
279,Janna
280,Poppy
280,Nidalee
280,Graves
280,Quinn
280,Gangplank
280,Fiora
281,Corki
281,Elise
281,Graves
281,Alistar
281,Nidalee
281,Ryze
282,Gangplank
282,TwistedFate
282,Graves
282,Poppy
282,Zilean
282,Lissandra
283,Poppy
283,Fiora
283,Gangplank
283,Nidalee
283,Graves
283,Alistar
284,Gangplank
284,Alistar
284,Fiora
284,
285,Ryze
285,Braum
285,Zed
285,Nidalee
285,Leblanc
285,TwistedFate
