"rWinEfficiency","bWinEfficiency","Year","bTowersNum","bInhibsNum","bDragonsNum","bBaronsNum","rTowersNum","rInhibsNum","rDragonsNum","rBaronsNum","bTowersFirstDestroyedTime","rTowersFirstDestroyedTime","TowersFirstKillBy","bTowers5Mins","rTowers5Mins","bTowers10Mins","rTowers10Mins","bTowers20Mins","rTowers20Mins","bTowersQuarterGame","rTowersQuarterGame","bTowersHalfGame","rTowersHalfGame","bInhibsFirstDestroyedTime","rInhibsFirstDestroyedTime","InhibsFirstKillBy","bInhibs5Mins","rInhibs5Mins","bInhibs10Mins","rInhibs10Mins","bInhibs20Mins","rInhibs20Mins","bInhibsQuarterGame","rInhibsQuarterGame","bInhibsHalfGame","rInhibsHalfGame","bDragonsFirstDestroyedTime","rDragonsFirstDestroyedTime","DragonsFirstKillBy","bDragons5Mins","rDragons5Mins","bDragons10Mins","rDragons10Mins","bDragons20Mins","rDragons20Mins","bDragonsQuarterGame","rDragonsQuarterGame","bDragonsHalfGame","rDragonsHalfGame","bBaronsFirstDestroyedTime","rBaronsFirstDestroyedTime","BaronsFirstKillBy","bBarons5Mins","rBarons5Mins","bBarons10Mins","rBarons10Mins","bBarons20Mins","rBarons20Mins","bBaronsQuarterGame","rBaronsQuarterGame","bBaronsHalfGame","rBaronsHalfGame","bKillsFirstDestroyedTime","rKillsFirstDestroyedTime","KillsFirstKillBy","bKills5Mins","rKills5Mins","bKills10Mins","rKills10Mins","bKills20Mins","rKills20Mins","bKillsQuarterGame","rKillsQuarterGame","bKillsHalfGame","rKillsHalfGame","goldblue5Mins","goldred5Mins","goldblue10Mins","goldred10Mins","goldblue20Mins","goldred20Mins","goldblueQuarterGame","goldredQuarterGame","goldblueHalfGame","goldredHalfGame","isBluePreferredLineup","isRedPreferredLineup","isBluePreferredChamps","isRedPreferredChamps","bResult"
0.439393939393939,0.594594594594595,2016,7,0,3,1,10,2,1,0,3.69,3.338,0,1,1,1,1,3,3,1,1,3,3,10000,30.994,0,0,0,0,0,0,0,0,0,0,0,16.347,22.683,1,0,0,0,0,1,0,0,0,1,0,30.86,10000,1,0,0,0,0,0,0,0,0,0,0,10.528,12.833,1,0,0,0,0,1,1,0,0,1,1,5954,6238,12675,13360,29054,30353,11183,11892,24759,26051,1,1,0,0,0
0.439393939393939,0.320754716981132,2017,2,0,0,0,8,1,4,1,21.099,16.222,0,0,0,0,0,0,2,0,0,0,1,10000,32.033,0,0,0,0,0,0,0,0,0,0,0,10000,10.274,0,0,0,0,0,0,2,0,0,0,2,10000,30.3,0,0,0,0,0,0,0,0,0,0,0,15.32,5.12,0,0,0,0,2,1,6,0,1,1,5,5249,5475,12116,13574,26890,31606,10969,11911,24274,27944,1,1,0,0,0
0.439393939393939,0.545454545454545,2017,8,1,4,0,1,0,0,0,10.164,10.264,1,0,0,0,0,2,1,0,0,2,1,29.685,10000,1,0,0,0,0,0,0,0,0,0,0,10.609,10000,1,0,0,0,0,2,0,0,0,1,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,12.23,9.62,0,0,0,0,1,4,2,0,0,4,2,5776,5438,13000,12422,31296,28584,10053,9759,25973,23902,1,0,0,0,1
0.439393939393939,0.658823529411765,2016,5,0,4,1,11,3,2,0,12.305,15.624,1,0,0,0,0,3,1,1,0,5,5,10000,36.93,0,0,0,0,0,0,0,0,0,0,0,18.587,24.751,1,0,0,0,0,1,0,0,0,1,1,41.001,10000,1,0,0,0,0,0,0,0,0,0,0,6.467,5.257,0,0,0,1,2,8,6,2,2,8,8,5347,5392,12408,12284,30356,29525,18960,18434,46355,45791,1,1,0,0,0
0.439393939393939,0.214285714285714,2017,11,7,4,1,3,0,2,2,13.754,13.735,0,0,0,0,0,2,1,0,0,3,2,37.248,10000,1,0,0,0,0,0,0,0,0,0,0,9.738,16.114,1,0,0,1,0,1,1,1,0,1,2,29.461,38.216,1,0,0,0,0,0,0,0,0,0,0,5.321,5.218,0,0,0,1,3,6,6,3,5,10,10,5733,5610,12877,13367,30619,31184,17899,18561,41835,42568,1,1,1,0,1
0.439393939393939,0.594594594594595,2016,3,0,1,0,9,1,3,1,3.341,3.375,1,1,1,2,2,2,2,2,2,2,2,10000,33.216,0,0,0,0,0,0,0,0,0,0,0,9.635,17.402,1,0,0,1,0,1,1,0,0,1,1,10000,26.888,0,0,0,0,0,0,0,0,0,0,0,23.224,14.51,0,0,0,0,0,0,5,0,0,0,5,6018,6034,13917,12977,26981,28730,12391,11897,23690,26159,1,1,0,0,0
0.439393939393939,0.535714285714286,2016,10,4,4,2,7,1,1,0,4.062,3.325,0,1,1,1,1,1,2,1,2,4,2,43.22,52.295,1,0,0,0,0,0,0,0,0,0,0,11.209,24.662,1,0,0,0,0,2,0,1,0,2,1,32.155,10000,1,0,0,0,0,0,0,0,0,0,0,4.15,46.25,1,1,0,1,0,3,0,2,0,4,0,5411,6015,13741,12946,29928,27976,18570,17512,40773,37162,1,1,0,0,0
0.439393939393939,0.652173913043478,2017,11,4,3,1,2,0,0,0,10.103,10.341,1,0,0,0,0,2,1,0,0,2,1,24.607,10000,1,0,0,0,0,0,0,0,0,0,0,10.547,10000,1,0,0,0,0,2,0,0,0,1,0,27.524,10000,1,0,0,0,0,0,0,0,0,0,0,4.891,9.236,1,1,0,1,2,4,2,1,0,3,2,5368,5649,13581,12577,30910,28382,10318,9567,24939,22309,1,0,0,0,1
0.439393939393939,0.3125,2016,1,0,0,0,11,3,4,1,3.763,3.741,0,1,1,1,1,1,3,1,1,1,1,10000,28.515,0,0,0,0,0,0,0,0,0,0,0,10000,10.237,0,0,0,0,0,0,2,0,0,0,1,10000,27.341,0,0,0,0,0,0,0,0,0,0,0,3.839,8.163,1,1,0,1,1,6,8,1,0,3,3,6664,6029,12951,13081,28748,30713,10261,10101,22217,22619,1,1,0,0,0
0.439393939393939,0.658823529411765,2017,7,1,2,1,9,7,0,2,12.817,10.974,0,0,0,0,0,2,4,0,1,3,5,47.181,29.608,0,0,0,0,0,0,0,0,0,0,0,11.691,10000,1,0,0,0,0,2,0,1,0,2,0,28.64,36.708,1,0,0,0,0,0,0,0,0,0,0,27.92,4.955,0,0,1,0,1,0,8,0,2,0,8,5597,5571,12499,13357,27559,32219,15334,17642,34008,39728,1,0,0,0,1
